fid,idComunidad,especie
"1","8",Crataegus monogyna
"2","8",Adenocarpus decorticans
"3","8",Lonicera arborea
"4","8",Cytisus scoparius
"5","8",Cistus laurifolius
"6","8",Thymus mastichina
"7","8",Rosmarinus officinalis
"8","8",Rosa canina
"9","8",Quercus ilex
"10","8",Quercus ilex
"11","8",Quercus ilex
"12","8",Ulex parviflorus
"13","8",Genista versicolor
"14","8",Helichrysum stoechas
"15","8",Thymus zygis
"16","8",Quercus ilex
"17","9",Quercus ilex
"18","9",Cytisus scoparius
"19","9",Rosa canina
"20","9",Crataegus monogyna
"21","9",Thymus mastichina
"22","9",Genista umbellata
"23","9",Retama sphaerocarpa
"24","9",Thymus zygis
"25","9",Cistus clusii
"26","9",Arenaria pungens
"27","9",Quercus ilex
"28","9",Cistus albidus
"29","9",Thymus zygis
"30","9",Lavandula stoechas
"31","9",Dorycnium pentaphyllum
"32","9",Coronilla juncea
"33","9",Cistus clusii
"34","9",Helianthemum apenninum
"35","9",Paronychia fruticosa
"36","9",Quercus ilex
"37","9",Quercus coccifera
"38","10",Genista versicolor
"39","10",Juniperus communis
"40","10",Cytisus galianoi
"41","10",Hormathophylla spinosa
"42","10",Genista versicolor
"43","10",Cytisus galianoi
"44","10",Juniperus communis
"45","10",Berberis vulgaris
"46","10",Juniperus communis
"47","10",Genista versicolor
"48","10",Cytisus galianoi
"49","10",Berberis vulgaris
"50","10",Genista versicolor
"51","10",Juniperus communis
"52","10",Cytisus galianoi
"53","10",Thymus serpylloides
"54","10",Juniperus communis
"55","10",Genista versicolor
"56","10",Cytisus galianoi
"57","10",Juniperus sabina
"58","10",Berberis vulgaris
"59","10",Thymus serpylloides
"60","10",Cytisus galianoi
"61","10",Juniperus communis
"62","10",Genista versicolor
"63","10",Thymus serpylloides
"64","10",Genista versicolor
"65","10",Juniperus communis
"66","10",Cytisus galianoi
"67","10",Thymus mastichina
"68","10",Juniperus communis
"69","10",Genista versicolor
"70","10",Berberis vulgaris
"71","10",Thymus mastichina
"72","10",Juniperus communis
"73","10",Genista versicolor
"74","10",Festuca indigesta
"75","10",Thymus serpylloides
"76","10",Genista versicolor
"77","10",Juniperus communis
"78","10",Festuca scariosa
"79","10",Thymus serpylloides
"80","10",Festuca indigesta
"81","10",Hormathophylla spinosa
"82","10",Juniperus communis
"83","10",Genista versicolor
"84","10",Cytisus galianoi
"85","10",Thymus serpylloides
"86","10",Arenaria pungens
"87","10",Arenaria tetraquetra
"88","10",Juniperus communis
"89","10",Genista versicolor
"90","10",Cytisus galianoi
"91","10",Thymus serpylloides
"92","10",Rosa canina
"93","10",Arenaria pungens
"94","16",Genista umbellata
"95","16",Arenaria pungens
"96","16",Thymus zygis
"97","16",Coronilla juncea
"98","16",Anthyllis cytisoides
"99","16",Genista umbellata
"100","16",Anthyllis cytisoides
"101","16",Arenaria pungens
"102","16",Coronilla juncea
"103","16",Thymus zygis
"104","16",Rosmarinus officinalis
"105","16",Genista umbellata
"106","16",Arenaria pungens
"107","16",Coronilla juncea
"108","16",Anthyllis cytisoides
"109","16",Thymus zygis
"110","16",Rosmarinus officinalis
"111","16",Phagnalon saxatile
"112","18",Erinacea anthyllis
"113","18",Juniperus sabina
"114","18",Vella spinosa
"115","18",Astragalus granatensis
"116","18",Berberis vulgaris
"117","18",Teucrium polium
"118","18",Erinacea anthyllis
"119","18",Vella spinosa
"120","18",Juniperus sabina
"121","18",Sideritis incana
"122","18",Teucrium polium
"123","18",Helianthemum apenninum
"124","18",Prunus prostrata
"125","19",Retama sphaerocarpa
"126","19",Genista umbellata
"127","19",Ulex parviflorus
"128","19",Lavandula lanata
"129","19",Arenaria pungens
"130","19",Quercus ilex
"131","19",Thymus zygis
"132","21",Berberis vulgaris
"133","21",Genista versicolor
"134","21",Cytisus galianoi
"135","21",Sorbus aria
"136","21",Acer granatense
"137","21",Rosa canina
"138","21",Prunus avium
"139","21",Quercus pyrenaica
"140","21",Genista versicolor
"141","21",Berberis vulgaris
"142","21",Rosa canina
"143","21",Acer granatense
"144","21",Prunus avium
"145","21",Sorbus aria
