fid,punto,comunidad,especie,COBERTURA_%,EM (MJ/HA),EMD (MJ/HA)
"1","1",Enebral-piornal,Genista versicolor,"121,2448355","44321,96671","17728,78668"
"2","1",Enebral-piornal,Juniperus communis,"17,39894633","247,4978822","49,49957645"
"3","1",Enebral-piornal,Cytisus galianoi,"2,727566072","607,2264311","242,8905725"
"4","1",Enebral-piornal,Hormathophylla spinosa,"0,079828517","24,48499217","4,896998433"
"5","2",Enebral-piornal,Genista versicolor,"79,52302332","23252,15148","9300,860592"
"6","2",Enebral-piornal,Cytisus galianoi,"13,47364102","2517,816251","1007,1265"
"7","2",Enebral-piornal,Juniperus communis,"13,14386891","202,1966891","40,43933781"
"8","2",Enebral-piornal,Berberis vulgaris,"2,413724649","32,17627856","6,435255711"
"9","4",Enebral-piornal,Juniperus communis,"45,90361561","420,6631587","84,13263175"
"10","4",Enebral-piornal,Genista versicolor,"37,91539108","8833,195846","3533,278338"
"11","4",Enebral-piornal,Cytisus galianoi,"10,01708321","2058,700698","823,4802793"
"12","4",Enebral-piornal,Berberis vulgaris,"3,312843536","56,21371099","11,2427422"
"13","6",Enebral-piornal,Genista versicolor,"35,58562553","11490,64611","4596,258443"
"14","6",Enebral-piornal,Juniperus communis,"23,15219605","636,6656503","127,3331301"
"15","6",Enebral-piornal,Cytisus galianoi,"17,48026341","3350,887106","1340,354842"
"16","6",Enebral-piornal,Thymus serpylloides,"0,177918442","36,7904568","7,358091359"
"17","7",Enebral-piornal,Juniperus communis,"35,57455923","891,7263818","178,3452764"
"18","7",Enebral-piornal,Genista versicolor,"33,34340818","9362,981986","3745,192794"
"19","7",Enebral-piornal,Cytisus galianoi,"21,41511183","4358,547407","1743,418963"
"20","7",Enebral-piornal,Juniperus sabina,"8,556455749","387,6773981","77,53547963"
"21","7",Enebral-piornal,Berberis vulgaris,"1,522821956","29,87217427","5,974434854"
"22","7",Enebral-piornal,Thymus serpylloides,"0,419232656","83,71966235","16,74393247"
"23","8",Piornal,Genista versicolor,"55,70498985","24765,18041","9906,072162"
"24","8",Piornal,Thymus serpylloides,"3,064571563","488,9352338","97,78704677"
"25","8",Piornal,Berberis vulgaris,"2,178148771","41,08325111","8,216650221"
"26","8",Piornal,Sorbus aria,"0,160323257","69,90853294","55,92682635"
"27","9",Piornal,Genista versicolor,"78,72585415","31118,80602","12447,52241"
"28","9",Piornal,Berberis vulgaris,"8,136156936","123,863625","24,77272501"
"29","9",Piornal,Rosa canina,"0,860095608","90,76089533","72,60871626"
"30","12",Piornal,Genista versicolor,"58,50117748","17173,39354","6869,357417"
"31","12",Piornal,Berberis vulgaris,"1,710062069","37,82598527","7,565197053"
"32","12",Piornal,Cytisus galianoi,"0,779508391","196,4902748","78,59610993"
"33","13",Piornal,Genista versicolor,"39,79112667","12129,46082","4851,784326"
"34","13",Piornal,Cytisus galianoi,"8,770933076","1459,613999","583,8455996"
"35","13",Piornal,Hormathophylla spinosa,"0,343071857","49,71761844","9,943523688"
"36","13",Piornal,Marrubium supinum,"0,019510777","1,109361583","0,221872317"
"37","13",Piornal,Rosa canina,"0,007592429","4,196841475","3,35747318"
"38","14",Robledar claro,Cytisus scoparius,"7,299261006","2949,977278","1769,986367"
"39","14",Robledar claro,Crataegus monogyna,"0,610129418","45,5669372","45,5669372"
"40","14",Robledar claro,Adenocarpus decorticans,"0,574299329","156,0088592","156,0088592"
"41","14",Robledar claro,Berberis vulgaris,"0,528926425","13,59042104","2,718084209"
"42","14",Robledar claro,Rosa canina,"0,293002591","54,21891889","43,37513511"
